term,seed_category,ingredient_category,origin,refinement_level,derived_from,ingredient_category_confidence,origin_confidence,refinement_confidence,derived_from_confidence,overall_confidence,botanical_name,inci_name,cas_number,description,source_count
(liquidambar Styraciflua/tribulus Terrestris) Fruit/paeonia Lactiflora Root,Roots,Roots,Plant-Derived,Extracted/Distilled,,60,60,60,,60,,(LIQUIDAMBAR STYRACIFLUA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT,,,1
Acrylates/va/vinyl Neodecanoate Copolymer,Synthetic - Polymers,Synthetic - Polymers,Synthetic,Synthesized,,60,60,60,,60,,ACRYLATES/VA/VINYL NEODECANOATE COPOLYMER,99728-55-9,,1
Astrocaryum Vulgare Seed,Herbs,Herbs,Plant-Derived,Extracted Fat,,60,60,60,,60,,ASTROCARYUM VULGARE SEED BUTTER,2187449-53-0,,1
BARLEY SH-POLYPEPTIDE-17,Synthetic - Polymers,Synthetic - Polymers,Synthetic,Synthesized,,60,60,60,,60,,BARLEY SH-POLYPEPTIDE-17,,,1
Daucus Carota Sativa Leaf,Herbs,Herbs,Plant-Derived,Extracted/Distilled,,60,60,60,,60,,DAUCUS CAROTA SATIVA LEAF EXTRACT,,,1
Disodium Tetramethylhexadecenylcysteine Formylprolinate,Herbs,Herbs,Plant-Derived,Minimally Processed,,60,60,60,,60,,DISODIUM TETRAMETHYLHEXADECENYLCYSTEINE FORMYLPROLINATE,2040469-40-5,,1
Hydrolyzed (citrus Aurantium Amara /forsythia Viridissima/gardenia Florida) Fruit/mentha Arvensis Leaf/(angelica Acutiloba/coptis Japonica/glycyrrhiza Glabra /paeonia Lactiflora/platycodon Grandiflorus/rehmannia Glutinosa/scutellaria Baicalensis Root),Roots,Roots,Plant-Derived,Extracted/Distilled,,60,60,60,,60,,HYDROLYZED (CITRUS AURANTIUM AMARA /FORSYTHIA VIRIDISSIMA/GARDENIA FLORIDA) FRUIT/MENTHA ARVENSIS LEAF/(ANGELICA ACUTILOBA/COPTIS JAPONICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS ROOT) EXTRACT,,,1
Hydrolyzed Bee Larva,Herbs,Herbs,Plant-Derived,Extracted/Distilled,,60,60,60,,60,,HYDROLYZED BEE LARVA EXTRACT,,,1
Hydrolyzed Forsythia Viridissima Fruit/(cimicifuga Dahurica/glycyrrhiza Glabra /paeonia Lactiflora/platycodon Grandiflorus/pueraria Lobata) Root,Roots,Roots,Plant-Derived,Extracted/Distilled,,60,60,60,,60,,HYDROLYZED FORSYTHIA VIRIDISSIMA FRUIT/(CIMICIFUGA DAHURICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/PUERARIA LOBATA) ROOT EXTRACT,,,1
Ictasol,Herbs,Herbs,Plant-Derived,Minimally Processed,,60,60,60,,60,,ICTASOL,1340-06-3,,1
ISOOCTANOYL TETRAPEPTIDE-25,Synthetic - Other,Synthetic - Other,Synthetic,Synthesized,,60,60,60,,60,,ISOOCTANOYL TETRAPEPTIDE-25,-,,1
Myristoyl Glycine/histidine/lysine Polypeptide,Synthetic - Polymers,Synthetic - Polymers,Synthetic,Synthesized,,60,60,60,,60,,Myristoyl Glycine/Histidine/Lysine Polypeptide,trade name assignments formerly published with the name Myristoyl Glycine/Histidine/Lysine Polypeptide will be retained in the retired monograph,,1
NONAPEPTIDE-11,Synthetic - Other,Synthetic - Other,Synthetic,Synthesized,,60,60,60,,60,,NONAPEPTIDE-11,,,1
Pentaclethra Macrophylla Seed,Herbs,Herbs,Plant-Derived,Extracted Fat,,60,60,60,,60,,PENTACLETHRA MACROPHYLLA SEED OIL,,,1
Trisodium Tetramethylhexadecenylcysteine Bis-carboxymethyl Formylamine,Herbs,Herbs,Plant-Derived,Minimally Processed,,60,60,60,,60,,TRISODIUM TETRAMETHYLHEXADECENYLCYSTEINE BIS-CARBOXYMETHYL FORMYLAMINE,2040473-30-9,,1
